timestamp,open,high,low,close,volume
2022-07-23 21:24:00+00:00,22281.52,22297.91,22280.67,22288.47,37.81887
2022-07-23 21:25:00+00:00,22288.47,22307.6,22288.29,22300.59,36.88812
2022-07-23 21:26:00+00:00,22300.59,22302.84,22290.47,22296.24,16.91697
2022-07-23 21:27:00+00:00,22296.24,22319.9,22290.2,22319.9,50.64153
2022-07-23 21:28:00+00:00,22316.27,22324.99,22287.1,22296.84,58.7402
2022-07-23 21:29:00+00:00,22299.87,22301.67,22295.53,22296.98,5.73653
2022-07-23 21:30:00+00:00,22296.49,22301.77,22290.0,22295.8,14.45282
2022-07-23 21:31:00+00:00,22295.8,22299.56,22292.49,22296.19,18.79548
2022-07-23 21:32:00+00:00,22296.86,22302.64,22295.69,22296.46,30.47192
2022-07-23 21:33:00+00:00,22296.46,22300.0,22284.79,22287.12,21.88766
2022-07-23 21:34:00+00:00,22287.12,22289.77,22280.99,22286.92,7.15101
2022-07-23 21:35:00+00:00,22287.82,22288.2,22276.88,22280.12,17.68098
2022-07-23 21:36:00+00:00,22280.12,22284.39,22266.66,22270.29,34.08555
2022-07-23 21:37:00+00:00,22270.29,22274.0,22225.64,22229.96,61.78746
2022-07-23 21:38:00+00:00,22229.96,22252.21,22228.17,22249.25,27.2503
2022-07-23 21:39:00+00:00,22251.27,22266.51,22248.14,22256.23,30.0641
2022-07-23 21:40:00+00:00,22258.44,22260.85,22240.01,22248.4,18.88856
2022-07-23 21:41:00+00:00,22247.27,22251.81,22239.0,22240.02,28.90473
2022-07-23 21:42:00+00:00,22241.26,22246.4,22233.36,22242.08,29.77231
2022-07-23 21:43:00+00:00,22243.18,22269.99,22242.07,22269.24,28.48055
2022-07-23 21:44:00+00:00,22269.24,22269.9,22255.56,22262.72,23.74891
2022-07-23 21:45:00+00:00,22262.72,22267.75,22257.28,22266.58,25.13021
2022-07-23 21:46:00+00:00,22264.42,22266.58,22244.56,22247.05,38.19583
2022-07-23 21:47:00+00:00,22247.05,22255.2,22244.8,22252.1,14.498
2022-07-23 21:48:00+00:00,22249.52,22258.25,22245.75,22247.63,14.28983
2022-07-23 21:49:00+00:00,22247.63,22252.58,22246.02,22251.05,9.8056
2022-07-23 21:50:00+00:00,22248.59,22258.33,22234.25,22238.12,32.74739
2022-07-23 21:51:00+00:00,22240.0,22240.0,22221.54,22233.95,51.44028
2022-07-23 21:52:00+00:00,22236.1,22245.0,22230.0,22242.48,25.08079
2022-07-23 21:53:00+00:00,22242.48,22245.82,22229.22,22232.37,20.74108
2022-07-23 21:54:00+00:00,22233.98,22242.45,22231.17,22242.45,17.37842
2022-07-23 21:55:00+00:00,22240.2,22246.95,22237.14,22242.21,29.86431
2022-07-23 21:56:00+00:00,22242.21,22246.83,22237.0,22244.95,26.33627
2022-07-23 21:57:00+00:00,22244.95,22249.99,22234.36,22238.49,26.39533
2022-07-23 21:58:00+00:00,22236.07,22239.99,22234.09,22236.36,12.71469
2022-07-23 21:59:00+00:00,22236.36,22246.78,22232.15,22243.32,19.79741
2022-07-23 22:00:00+00:00,22244.84,22251.86,22231.89,22243.11,41.89781
2022-07-23 22:01:00+00:00,22243.11,22266.85,22240.86,22260.61,32.10292
2022-07-23 22:02:00+00:00,22260.61,22267.09,22244.18,22254.82,62.94901
2022-07-23 22:03:00+00:00,22257.36,22278.0,22254.82,22260.96,62.79218
2022-07-23 22:04:00+00:00,22258.84,22275.08,22255.87,22270.01,39.46752
2022-07-23 22:05:00+00:00,22270.01,22275.88,22265.65,22270.13,21.04146
2022-07-23 22:06:00+00:00,22268.89,22286.22,22251.01,22280.44,75.05758
2022-07-23 22:07:00+00:00,22282.59,22308.47,22276.0,22289.25,105.66713
2022-07-23 22:08:00+00:00,22292.63,22300.0,22284.57,22288.34,38.12168
2022-07-23 22:09:00+00:00,22288.34,22299.17,22284.63,22294.08,66.46397
2022-07-23 22:10:00+00:00,22294.35,22302.62,22287.65,22298.38,62.62147
2022-07-23 22:11:00+00:00,22297.45,22304.96,22293.83,22302.08,70.66304
2022-07-23 22:12:00+00:00,22302.08,22302.96,22288.48,22289.02,33.40971
2022-07-23 22:13:00+00:00,22289.02,22294.83,22280.87,22287.71,36.90826
2022-07-23 22:14:00+00:00,22289.58,22295.04,22266.95,22270.13,40.26695
2022-07-23 22:15:00+00:00,22267.47,22277.19,22262.79,22268.96,57.95662
2022-07-23 22:16:00+00:00,22270.24,22291.58,22267.8,22282.69,42.70738
2022-07-23 22:17:00+00:00,22285.67,22295.71,22278.33,22286.43,57.38689
2022-07-23 22:18:00+00:00,22285.9,22292.39,22280.57,22283.9,50.99547
2022-07-23 22:19:00+00:00,22283.9,22301.27,22283.27,22289.41,54.67659
2022-07-23 22:20:00+00:00,22291.52,22318.67,22289.41,22313.41,71.39891
2022-07-23 22:21:00+00:00,22315.12,22324.28,22302.38,22318.53,93.16527
2022-07-23 22:22:00+00:00,22318.94,22379.79,22314.43,22363.31,226.83457
2022-07-23 22:23:00+00:00,22363.31,22473.75,22360.72,22410.96,800.47203
2022-07-23 22:24:00+00:00,22414.14,22449.38,22402.85,22422.0,201.78972
2022-07-23 22:25:00+00:00,22422.0,22444.78,22417.94,22422.07,115.08082
2022-07-23 22:26:00+00:00,22418.29,22472.19,22418.29,22447.95,188.97241
2022-07-23 22:27:00+00:00,22447.29,22450.0,22427.82,22440.05,140.78978
2022-07-23 22:28:00+00:00,22443.33,22463.93,22420.0,22425.99,142.81364
2022-07-23 22:29:00+00:00,22424.25,22426.58,22396.7,22407.07,213.44868
